symbol,model_type,alpha,mse,rmse,mae,mae_pct,r2
ADA,Ridge,0.01,0.0004836084598174892,0.021991099559082742,0.01038119695504494,1.9996205087873895,0.9903396715164297
ARB,Ridge,0.01,0.0008434953503903687,0.029042991416008936,0.019247301045263933,2.013218773854389,0.9970668695104754
AVAX,Lasso,0.001,0.8056671019059783,0.8975896066165084,0.5345709598298222,1.9838230709050824,0.9911586383118698
ETH,Lasso,0.001,1476.491955639817,38.42514743810122,24.650690491608618,0.9627639212621322,0.9960728234817143
FET,Ridge,0.01,0.0070115048772652335,0.08373472921831916,0.055692227420308923,5.477927585836097,0.9833028864605177
INJ,Lasso,0.001,2.4114686934135676,1.5528904318764951,0.8243409562927954,4.158026398602206,0.9712016592585978
MATIC,Lasso,0.001,0.0001973374181496786,0.014047683728988156,0.00921508177025433,1.572260264673092,0.9969020342081935
RNDR,Lasso,0.001,0.07710124872019623,0.27767111610716055,0.17081284411037853,3.3055527403777694,0.985441804036676
RUNE,Lasso,0.001,0.028766034141683685,0.1696055250918545,0.10455543373454186,2.7736022830749865,0.9930813461135071
SOL,Lasso,0.001,33.46741720374949,5.785103041757294,4.145198871295564,3.4289960800242616,0.976897421990251
