symbol,as_of,predicted_price_for_may22,actual_price_may21,predicted_change_pct,model_type
MATIC,2025-05-21,0.26903896283527734,0.2423,11.035477851951033,Lasso
RUNE,2025-05-21,2.098725666669755,1.964,6.859758995405038,Lasso
ARB,2025-05-21,0.43818229513915896,0.4113,6.5359336589251065,Ridge
ETH,2025-05-21,2546.5516607010727,2551.73,-0.20293445227070703,Lasso
INJ,2025-05-21,12.366236122253508,12.404,-0.30444919176469176,Lasso
ADA,2025-05-21,0.7633984800196367,0.7694,-0.7800259917290416,Ridge
AVAX,2025-05-21,22.999184439901867,23.18,-0.7800498710014334,Lasso
SOL,2025-05-21,171.35615851624448,173.61,-1.2982210032576098,Lasso
RNDR,2025-05-21,4.714921561353712,4.7771,-1.3015938256743125,Lasso
FET,2025-05-21,0.7785954545968923,0.8058,-3.37609151192699,Ridge
